Date,tikr,open,high,low,close,volume
2020-10-09,AARTIIND.NS,1010.67,1013.67,996.69,997.94,194545
2020-10-12,AARTIIND.NS,1003.68,1008.68,984.81,1002.69,149883
2020-10-13,AARTIIND.NS,1006.48,1006.48,986.76,988.9,219566
2020-10-14,AARTIIND.NS,988.7,993.4,966.73,969.53,277343
2020-10-15,AARTIIND.NS,973.72,1002.04,968.18,974.92,329882
2020-10-16,AARTIIND.NS,983.46,1000.19,965.18,997.44,183889
2020-10-19,AARTIIND.NS,998.69,1005.58,970.83,973.07,179131
2020-10-20,AARTIIND.NS,976.77,986.26,967.28,975.42,199723
2020-10-21,AARTIIND.NS,983.56,990.55,972.13,983.21,263109
2020-10-22,AARTIIND.NS,984.71,1001.69,973.77,994.1,243636
2020-10-23,AARTIIND.NS,1001.69,1003.68,989.7,993.35,87100
2020-10-26,AARTIIND.NS,992.95,1002.64,979.72,982.26,111897
2020-10-27,AARTIIND.NS,978.72,1000.19,973.72,993.25,161998
2020-10-28,AARTIIND.NS,994.7,1023.66,994.7,1008.28,286337
2020-10-29,AARTIIND.NS,998.69,1018.71,988.75,1011.62,105368
2020-10-30,AARTIIND.NS,1008.68,1021.16,987.8,999.24,110667
2020-11-02,AARTIIND.NS,1026.65,1026.65,988.7,1008.68,144126
2020-11-03,AARTIIND.NS,1013.67,1020.66,998.69,1015.32,92913
2020-11-04,AARTIIND.NS,1008.68,1023.61,1002.98,1017.77,119173
2020-11-05,AARTIIND.NS,1023.66,1083.58,1017.27,1075.54,554495
2020-11-06,AARTIIND.NS,1087.37,1133.31,1081.58,1103.6,452197
2020-11-09,AARTIIND.NS,1117.68,1126.97,1092.87,1116.24,183888
2020-11-10,AARTIIND.NS,1127.87,1128.02,1028.65,1080.48,281149
2020-11-11,AARTIIND.NS,1078.44,1078.44,1030.0,1046.43,250628
2020-11-12,AARTIIND.NS,1058.61,1095.46,1045.63,1082.38,315697
2020-11-13,AARTIIND.NS,1087.07,1105.55,1072.69,1099.01,226750
2020-11-17,AARTIIND.NS,1108.55,1139.51,1108.55,1126.67,474494
2020-11-18,AARTIIND.NS,1128.32,1153.44,1102.4,1143.95,347906
2020-11-19,AARTIIND.NS,1149.7,1154.45,1131.45,1148.1,451665
2020-11-20,AARTIIND.NS,1148.1,1148.3,1110.0,1122.8,353439
2020-11-23,AARTIIND.NS,1124.75,1145.0,1116.45,1135.55,193753
2020-11-24,AARTIIND.NS,1137.95,1161.95,1136.0,1145.65,421807
2020-11-25,AARTIIND.NS,1149.65,1158.0,1115.6,1119.35,204057
2020-11-26,AARTIIND.NS,1115.0,1125.0,1092.05,1109.1,164371
