,tikr,entrydate,exitdate,change1,change0,totalchange,changediff,entry,exit,pnl
0,NAUKRI.NS,2020-10-14,2020-10-15,0.04502,0.02881,0.08027,0.01621,3740.55,3767.0,983.98
0,JSWSTEEL.NS,2020-10-16,2020-10-19,0.06688,0.0031,0.07239,0.06378,311.05,314.2,1444.25
0,COALINDIA.NS,2020-10-19,2020-10-20,0.02999,0.00685,0.03724,0.02314,104.4,104.77,457.66
0,LT.NS,2020-10-20,2020-10-21,0.01595,0.00984,0.03175,0.00611,899.88,907.38,1178.42
1,DLF.NS,2020-10-21,2020-10-22,0.02777,0.0167,0.0577,0.01107,172.1,173.75,1364.74
7,SRTRANSFIN.NS,2020-10-22,2020-10-23,0.05126,0.01109,0.06372,0.04017,692.3,696.46,828.67
3,TATAMOTORS.NS,2020-10-23,2020-10-26,0.02622,0.02495,0.0558,0.00127,137.0,138.4,1458.94
1,PFIZER.NS,2020-10-26,2020-10-27,0.01405,0.01136,0.03572,0.00269,5191.8,5220.0,743.72
3,LT.NS,2020-10-27,2020-10-28,0.03173,0.01115,0.04816,0.02058,963.3,971.15,1150.52
0,APLLTD.NS,2020-10-29,2020-10-30,0.00716,0.00245,0.01013,0.00471,970.1,976.5,917.92
0,ADANIENT.NS,2020-10-30,2020-11-02,0.03284,0.03152,0.07964,0.00132,339.7,339.1,-338.21
4,SBIN.NS,2020-11-03,2020-11-04,0.04438,0.03593,0.08322,0.00845,204.75,203.5,-989.23
6,SUNPHARMA.NS,2020-11-04,2020-11-05,0.03924,0.03451,0.08159,0.00473,500.28,503.6,921.95
6,INDUSINDBK.NS,2020-11-05,2020-11-06,0.05361,0.04864,0.13129,0.00497,714.4,714.75,-0.51
11,RBLBANK.NS,2020-11-06,2020-11-09,0.0401,0.00514,0.04714,0.03496,193.25,195.0,1283.95
1,CUB.NS,2020-11-09,2020-11-10,0.10288,0.0322,0.15401,0.07068,183.85,181.3,-2153.72
10,INDIGO.NS,2020-11-10,2020-11-11,0.09155,0.04771,0.14321,0.04384,1627.55,1612.05,-1498.93
3,RECLTD.NS,2020-11-11,2020-11-12,0.04118,0.02423,0.07558,0.01695,106.95,106.53,-662.24
0,DEEPAKNTR.NS,2020-11-12,2020-11-13,0.02881,0.01459,0.05259,0.01422,819.45,819.45,-73.01
1,NAUKRI.NS,2020-11-13,2020-11-17,0.04981,0.0374,0.08934,0.01241,3859.95,3847.0,-579.08
3,IDEA.NS,2020-11-17,2020-11-18,0.06897,0.02353,0.09842,0.04544,9.3,9.2,-1685.85
6,FEDERALBNK.NS,2020-11-18,2020-11-19,0.06632,0.02471,0.09725,0.04161,61.9,61.35,-1405.61
0,BATAINDIA.NS,2020-11-19,2020-11-20,0.04805,0.03926,0.10389,0.00879,1499.45,1502.0,180.99
1,MRF.NS,2020-11-20,2020-11-23,0.02913,0.02386,0.06579,0.00527,79066.75,81157.28,4103.22
